Component,Dataset,Name,Description,Raster_Val
FIPS_I,FIPS_I_LocalPathNetwork,FIPS_I_LocalPathNetwork_Path,Path,1
FIPS_I,FIPS_I_RoadsTracks,FIPS_I_RoadsTracks_Motorway,Motorway,1
FIPS_I,FIPS_I_RoadsTracks,FIPS_I_RoadsTracks_A,A Road,2
FIPS_I,FIPS_I_RoadsTracks,FIPS_I_RoadsTracks_B,B Road,3
FIPS_I,FIPS_I_RoadsTracks,FIPS_I_RoadsTracks_Minor,Minor or local road,4
FIPS_I,FIPS_I_RoadsTracks,FIPS_I_RoadsTracks_Track,Access roads or Track,5
FIPS_I,FIPS_I_NationalCycleNetwork,FIPS_I_NationalCycleNetwork_Paved_Road,On Road: Paved Surface,1
FIPS_I,FIPS_I_NationalCycleNetwork,FIPS_I_NationalCycleNetwork_Unpaved_Traffic_Free,Traffic Free: Unpaved Surface,2
FIPS_I,FIPS_I_NationalCycleNetwork,FIPS_I_NationalCycleNetwork_Paved_Traffic_Free,Traffic Free: Paved Surface,3
FIPS_I,FIPS_I_NationalCycleNetwork,FIPS_I_NationalCycleNetwork_Unpaved_Road,On Road: Unpaved Surface,4
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Foothills,Foothills,1
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Mountains,Mountains,3
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Terraces,Terraces,4
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Flood_Plain,Flood plain,5
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Beaches_Dunes,Beaches or Dunes,6
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Rocks_Scree,Rocks or Scree,7
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Depressions,Depressions,8
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Hills,Hills,9
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Lowlands,Lowlands,10
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Rock_Walls,Rock Walls,11
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Uplands,Uplands,12
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Valley_Sides,Valley sides,13
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Valley_Bottom,Valley bottom,14
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Built,Built-up areas,15
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Saltings,Saltings,16
FIPS_N,FIPS_N_Landform,FIPS_N_Landform_Hummocks_Mounds_Moraines,"Hummocks, mounds or moraines",17
FIPS_N,FIPS_N_Slope,FIPS_N_Slope_Flat,No slope,1
FIPS_N,FIPS_N_Slope,FIPS_N_Slope_Gentle,Gentle slope,2
FIPS_N,FIPS_N_Slope,FIPS_N_Slope_Medium,Medium slope,3
FIPS_N,FIPS_N_Slope,FIPS_N_Slope_Steep,Steep slope,4
FIPS_N,FIPS_N_Slope,FIPS_N_Slope_Very_Steep,Very steep slope,5
FIPS_N,FIPS_N_Slope,FIPS_N_Slope_Extremely_Steep,Extremely steep slope,6
FIPS_N,FIPS_N_Soil,FIPS_N_Soil_Peat_Organic,Peat or Organic,1
FIPS_N,FIPS_N_Soil,FIPS_N_Soil_Mineral,Mineral,2
Water,Water_Lakes,Water_Lakes_Pond,Pond,5
Water,Water_Lakes,Water_Lakes_Lochan,Lochan,1
Water,Water_Lakes,Water_Lakes_Small_Loch,Small Lochs,4
Water,Water_Lakes,Water_Lakes_Medium_Loch,Medium Lochs,2
Water,Water_Lakes,Water_Lakes_Large_Loch,Large Lochs,3
Water,Water_Lakes,Water_Lakes_Major_Lock,Major Lochs,6
Water,Water_Rivers,Water_Rivers_Minor,Minor river or tributary,1
Water,Water_Rivers,Water_Rivers_Unnamed_Stream,Unnamed minor stream or tributary,2
Water,Water_Rivers,Water_Rivers_Major,Major river or tributary,3
Water,Water_Rivers,Water_Rivers_Named_Stream,Named minor stream or tributary,4
Water,Water_Rivers,Water_Rivers_Lake,Lake,5
Water,Water_Rivers,Water_Rivers_Tidal,Tidal river or estuary,6
Water,Water_Rivers,Water_Rivers_Canal,Canal,7
SLSRA,SLSRA_CP,SLSRA_CP_Country_Park,Country Park,1
SLSRA,SLSRA_HNV,SLSRA_HNV_High_Nature_Value,Designated High Nature Value (HNV) farmland,1
SLSRA,SLSRA_LCM,SLSRA_LCM_Alpine_Grassland,Alpine and subalpine grassland,8
SLSRA,SLSRA_LCM,SLSRA_LCM_Arable,Arable land and market gardens,21
SLSRA,SLSRA_LCM,SLSRA_LCM_Alpine_Scrub,"Arctic, alpine and subalpine scrub",10
SLSRA,SLSRA_LCM,SLSRA_LCM_Exposed_Soil,Bare field or exposed soil,23
SLSRA,SLSRA_LCM,SLSRA_LCM_Fens_Mires,Base-rich fens and calcareous spring mires,4
SLSRA,SLSRA_LCM,SLSRA_LCM_Broadleaved_Woodland,Broadleaved deciduous woodland,14
